dataset,aggregate,n_plasma,n_region,myeloid_frac_inside,myeloid_bg,myeloid_log2enrich,x,y
RCC_preview,6,12,56,0.1964,0.1987,-0.016,1092.1243794759114,224.46820704142252
RCC_preview,7,12,80,0.1875,0.1987,-0.084,1393.3096516927083,1022.3797709147135
RCC_preview,8,10,74,0.1081,0.1987,-0.878,2433.3811279296874,788.54873046875
RCC_preview,9,18,270,0.0481,0.1987,-2.045,1826.6986287434895,659.3938700358073
RCC_preview,10,18,93,0.172,0.1987,-0.208,2000.2134535047744,400.6229994032118
RCC_preview,11,22,275,0.1309,0.1987,-0.602,2023.3652177290483,118.16129476373845
RCC_preview,12,13,68,0.2059,0.1987,0.051,2085.013164813702,658.7619910606971
RCC_preview,13,11,95,0.1263,0.1987,-0.653,2065.224298650568,283.4753348610618
RCC_preview,14,18,112,0.1607,0.1987,-0.306,1895.3350830078125,254.36448245578342
RCC_preview,15,21,126,0.3016,0.1987,0.602,2414.6396600632443,1343.2420363653273
RCC_preview,16,10,63,0.2698,0.1987,0.442,2255.385693359375,1815.073583984375
RCC_preview,17,17,235,0.1021,0.1987,-0.96,2886.2031106387867,301.12223367130053
RCC_preview,18,12,77,0.2338,0.1987,0.235,2688.3670450846353,1621.0132954915364
RCC_preview,19,30,201,0.2189,0.1987,0.14,2655.9687662760416,1856.1952189127603
